question,answer
What type of course is Object-slope programming?,Object-slope programming is classified as a Theoretical Practice course.
Are there any additional notes for Object-slope programming?,Notes: Nan
What is the course code for An Application of Industrial Statistics?,The course code for An Application of Industrial Statistics is IMEN210006.
Who is the instructor for An Application of Industrial Statistics?,The instructor of An Application of Industrial Statistics is Kim Tagu..
How many credits is An Application of Industrial Statistics worth?,An Application of Industrial Statistics is worth 3.0 credits.
When and where is An Application of Industrial Statistics held?,"An Application of Industrial Statistics is held at Fire 2, 3, 4. in Industrial Intelligence Agency 205.."
What type of course is An Application of Industrial Statistics?,An Application of Industrial Statistics is classified as a Theory course.
Are there any additional notes for An Application of Industrial Statistics?,Notes: Nan
What is the course code for Technological Management?,The course code for Technological Management is IMEN210007.
Who is the instructor for Technological Management?,The instructor of Technological Management is Surrounding Symbols.
How many credits is Technological Management worth?,Technological Management is worth 3.0 credits.
When and where is Technological Management held?,"Technological Management is held at Number 6, 7, 8. in Industrial Intelligence Agency (204)."
What type of course is Technological Management?,Technological Management is classified as a Theory course.
Are there any additional notes for Technological Management?,Notes: Nan
What is the course code for Sequential Mathematics?,The course code for Sequential Mathematics is IMEN210004.
Who is the instructor for Sequential Mathematics?,The instructor of Sequential Mathematics is Surrounding Symbols.
How many credits is Sequential Mathematics worth?,Sequential Mathematics is worth 3.0 credits.
When and where is Sequential Mathematics held?,"Sequential Mathematics is held at Month 1,3 in Industrial Intelligence Agency (201)."
What type of course is Sequential Mathematics?,Sequential Mathematics is classified as a Theory course.
Are there any additional notes for Sequential Mathematics?,Notes: Nan
What is the course code for Sequential Mathematics?,The course code for Sequential Mathematics is IMEN210004.
Who is the instructor for Sequential Mathematics?,The instructor of Sequential Mathematics is Surrounding Symbols.
How many credits is Sequential Mathematics worth?,Sequential Mathematics is worth 3.0 credits.
When and where is Sequential Mathematics held?,"Sequential Mathematics is held at throat 2, 3, 4. in Industrial Intelligence Agency (201)."
What type of course is Sequential Mathematics?,Sequential Mathematics is classified as a Theory course.
Are there any additional notes for Sequential Mathematics?,Notes: Nan
What is the course code for Lead Design 2?,The course code for Lead Design 2 is GUID200002.
Who is the instructor for Lead Design 2?,The instructor of Lead Design 2 is Park Joon..
How many credits is Lead Design 2 worth?,Lead Design 2 is worth 1.0 credits.
When and where is Lead Design 2 held?,Lead Design 2 is held at Fire1 in Industrial Intelligence Agency (202).
What type of course is Lead Design 2?,Lead Design 2 is classified as a Theory course.
Are there any additional notes for Lead Design 2?,Notes: Nan
What is the course code for Quality Management Agenda?,The course code for Quality Management Agenda is IMEN210008.
Who is the instructor for Quality Management Agenda?,The instructor of Quality Management Agenda is White crystal.
How many credits is Quality Management Agenda worth?,Quality Management Agenda is worth 3.0 credits.
When and where is Quality Management Agenda held?,"Quality Management Agenda is held at Tuesday 6,7,8 in Industrial Intelligence Agency (204)."
What type of course is Quality Management Agenda?,Quality Management Agenda is classified as a Theory course.
Are there any additional notes for Quality Management Agenda?,Notes: Nan
What is the course code for Quality Management Agenda?,The course code for Quality Management Agenda is IMEN210008.
Who is the instructor for Quality Management Agenda?,The instructor of Quality Management Agenda is White crystal.
How many credits is Quality Management Agenda worth?,Quality Management Agenda is worth 3.0 credits.
When and where is Quality Management Agenda held?,"Quality Management Agenda is held at Months 6,7,8 in Industrial Intelligence Agency (204)."
What type of course is Quality Management Agenda?,Quality Management Agenda is classified as a Theory course.
Are there any additional notes for Quality Management Agenda?,Notes: Nan
What is the course code for Business Science’s Applications?,The course code for Business Science’s Applications is IMEN3103.
Who is the instructor for Business Science’s Applications?,The instructor of Business Science’s Applications is Kim Chie-tae.
How many credits is Business Science’s Applications worth?,Business Science’s Applications is worth 3.0 credits.
When and where is Business Science’s Applications held?,"Business Science’s Applications is held at Figure 6, 7, 8, 9. in Industrial Intelligence Agency (201)."
What type of course is Business Science’s Applications?,Business Science’s Applications is classified as a Theoretical Practice course.
Are there any additional notes for Business Science’s Applications?,Notes: Nan
What is the course code for Business Science’s Applications?,The course code for Business Science’s Applications is IMEN3103.
Who is the instructor for Business Science’s Applications?,The instructor of Business Science’s Applications is Kim Chie-tae.
How many credits is Business Science’s Applications worth?,Business Science’s Applications is worth 3.0 credits.
When and where is Business Science’s Applications held?,"Business Science’s Applications is held at Tuesday 10, 11, 12, 13 in Industrial Intelligence Agency (202)."
What type of course is Business Science’s Applications?,Business Science’s Applications is classified as a Theoretical Practice course.
Are there any additional notes for Business Science’s Applications?,Notes: Nan
What is the course code for Management Information System?,The course code for Management Information System is IMEN310029.
Who is the instructor for Management Information System?,The instructor of Management Information System is Venerealin.
How many credits is Management Information System worth?,Management Information System is worth 3.0 credits.
When and where is Management Information System held?,"Management Information System is held at Anger 1, 2, 3, 4. in Industrial Intelligence Agency (204)."
What type of course is Management Information System?,Management Information System is classified as a Theoretical Practice course.
Are there any additional notes for Management Information System?,Notes: Nan
What is the course code for Global Capston Design?,The course code for Global Capston Design is PROJ3003.
Who is the instructor for Global Capston Design?,The instructor of Global Capston Design is Cylinder.
How many credits is Global Capston Design worth?,Global Capston Design is worth 3.0 credits.
When and where is Global Capston Design held?,"Global Capston Design is held at Months 1, 2, 3, 4. in Industrial Intelligence Agency 205.."
What type of course is Global Capston Design?,Global Capston Design is classified as a Theoretical Practice course.
Are there any additional notes for Global Capston Design?,Notes: Nan
What is the course code for How to Plan an Experiment?,The course code for How to Plan an Experiment is IMEN310030.
Who is the instructor for How to Plan an Experiment?,The instructor of How to Plan an Experiment is Lactose..
How many credits is How to Plan an Experiment worth?,How to Plan an Experiment is worth 3.0 credits.
When and where is How to Plan an Experiment held?,"How to Plan an Experiment is held at Number 10, 11, 12, 13 in Industrial Intelligence Agency (204)."
What type of course is How to Plan an Experiment?,How to Plan an Experiment is classified as a Theoretical Practice course.
Are there any additional notes for How to Plan an Experiment?,Notes: Nan
What is the course code for How to Plan an Experiment?,The course code for How to Plan an Experiment is IMEN310030.
Who is the instructor for How to Plan an Experiment?,The instructor of How to Plan an Experiment is Lactose..
How many credits is How to Plan an Experiment worth?,How to Plan an Experiment is worth 3.0 credits.
When and where is How to Plan an Experiment held?,"How to Plan an Experiment is held at Number 6, 7, 8, 9. in Industrial Intelligence Agency (202)."
What type of course is How to Plan an Experiment?,How to Plan an Experiment is classified as a Theoretical Practice course.
Are there any additional notes for How to Plan an Experiment?,Notes: Nan
What is the course code for decision - making?,The course code for decision - making is IMEN3118.
Who is the instructor for decision - making?,The instructor of decision - making is STRENGTH.
How many credits is decision - making worth?,decision - making is worth 3.0 credits.
When and where is decision - making held?,"decision - making is held at Month 2,3,4 in Industrial Intelligence Agency (204)."
What type of course is decision - making?,decision - making is classified as a Theory course.
Are there any additional notes for decision - making?,Notes: Nan
What is the course code for Human Engineering?,The course code for Human Engineering is IMEN310031.
Who is the instructor for Human Engineering?,The instructor of Human Engineering is The militia..
How many credits is Human Engineering worth?,Human Engineering is worth 3.0 credits.
When and where is Human Engineering held?,"Human Engineering is held at Number 6, 7, 8. in Industrial Intelligence Agency (201)."
What type of course is Human Engineering?,Human Engineering is classified as a Theory course.
Are there any additional notes for Human Engineering?,Notes: Nan
What is the course code for Human Engineering?,The course code for Human Engineering is IMEN310031.
Who is the instructor for Human Engineering?,The instructor of Human Engineering is The militia..
How many credits is Human Engineering worth?,Human Engineering is worth 3.0 credits.
When and where is Human Engineering held?,"Human Engineering is held at Tuesday 6,7,8 in Industrial Intelligence Agency (202)."
What type of course is Human Engineering?,Human Engineering is classified as a Theory course.
Are there any additional notes for Human Engineering?,Notes: Nan
What is the course code for Research Analysts?,The course code for Research Analysts is IMEN3209.
Who is the instructor for Research Analysts?,The instructor of Research Analysts is Cylinder.
How many credits is Research Analysts worth?,Research Analysts is worth 3.0 credits.
When and where is Research Analysts held?,"Research Analysts is held at Number 1, 2, 3, 4. in Industrial Intelligence Agency (204)."
What type of course is Research Analysts?,Research Analysts is classified as a Theoretical Practice course.
Are there any additional notes for Research Analysts?,Notes: Nan
What is the course code for Lead Design 3?,The course code for Lead Design 3 is GUID300002.
Who is the instructor for Lead Design 3?,The instructor of Lead Design 3 is Kim Tagu..
How many credits is Lead Design 3 worth?,Lead Design 3 is worth 1.0 credits.
When and where is Lead Design 3 held?,Lead Design 3 is held at MONTHS in Industrial Intelligence Agency (202).
What type of course is Lead Design 3?,Lead Design 3 is classified as a Theory course.
Are there any additional notes for Lead Design 3?,Notes: Nan
What is the course code for Quality Management and Confidence?,The course code for Quality Management and Confidence is IMEN320017.
Who is the instructor for Quality Management and Confidence?,The instructor of Quality Management and Confidence is Seo-joon..
How many credits is Quality Management and Confidence worth?,Quality Management and Confidence is worth 3.0 credits.
When and where is Quality Management and Confidence held?,"Quality Management and Confidence is held at Thirst 6,7,8 in Industrial Intelligence Agency (201)."
What type of course is Quality Management and Confidence?,Quality Management and Confidence is classified as a Theory course.
Are there any additional notes for Quality Management and Confidence?,Notes: Nan
What is the course code for Decisions Under Uncertainty?,The course code for Decisions Under Uncertainty is IMEN420006.
Who is the instructor for Decisions Under Uncertainty?,The instructor of Decisions Under Uncertainty is Park Joon..
How many credits is Decisions Under Uncertainty worth?,Decisions Under Uncertainty is worth 3.0 credits.
When and where is Decisions Under Uncertainty held?,"Decisions Under Uncertainty is held at Fire 2, 3, 4. in Industrial Intelligence Agency (201)."
What type of course is Decisions Under Uncertainty?,Decisions Under Uncertainty is classified as a Theory course.
Are there any additional notes for Decisions Under Uncertainty?,Notes: Nan
What is the course code for Industrial Intelligence?,The course code for Industrial Intelligence is IMEN420003.
Who is the instructor for Industrial Intelligence?,The instructor of Industrial Intelligence is Park Joon..
How many credits is Industrial Intelligence worth?,Industrial Intelligence is worth 3.0 credits.
When and where is Industrial Intelligence held?,"Industrial Intelligence is held at Thirst 6,7,8 in Industrial Intelligence Agency 205.."
What type of course is Industrial Intelligence?,Industrial Intelligence is classified as a Theory course.
Are there any additional notes for Industrial Intelligence?,Notes: Nan
What is the course code for Product Development?,The course code for Product Development is IMEN3121.
Who is the instructor for Product Development?,The instructor of Product Development is Lactose..
How many credits is Product Development worth?,Product Development is worth 3.0 credits.
When and where is Product Development held?,"Product Development is held at Months 6,7,8 in Industrial Intelligence Agency 205.."
What type of course is Product Development?,Product Development is classified as a Theory course.
Are there any additional notes for Product Development?,Notes: Nan
What is the course code for Lead Design 4?,The course code for Lead Design 4 is GUID400002.
Who is the instructor for Lead Design 4?,The instructor of Lead Design 4 is Lactose..
How many credits is Lead Design 4 worth?,Lead Design 4 is worth 1.0 credits.
When and where is Lead Design 4 held?,Lead Design 4 is held at Number 5 in Industrial Intelligence Agency (202).
What type of course is Lead Design 4?,Lead Design 4 is classified as a Theory course.
Are there any additional notes for Lead Design 4?,Notes: Nan
What is the course code for Quality Test?,The course code for Quality Test is IMEN3213.
Who is the instructor for Quality Test?,The instructor of Quality Test is Kim Tagu..
How many credits is Quality Test worth?,Quality Test is worth 3.0 credits.
When and where is Quality Test held?,"Quality Test is held at Number 6, 7, 8. in Industrial Intelligence Agency 205.."
What type of course is Quality Test?,Quality Test is classified as a Theory course.
Are there any additional notes for Quality Test?,Notes: Nan
What is the course code for Project Management?,The course code for Project Management is IMEN3214.
Who is the instructor for Project Management?,The instructor of Project Management is Park Joon..
How many credits is Project Management worth?,Project Management is worth 3.0 credits.
When and where is Project Management held?,"Project Management is held at throat 2, 3, 4. in Industrial Intelligence Agency 205.."
What type of course is Project Management?,Project Management is classified as a Theory course.
Are there any additional notes for Project Management?,Notes: Nan
What is the course code for Construction Mechanics System?,The course code for Construction Mechanics System is BNPE120001.
Who is the instructor for Construction Mechanics System?,The instructor of Construction Mechanics System is Five - wheeled stone..
How many credits is Construction Mechanics System worth?,Construction Mechanics System is worth 3.0 credits.
When and where is Construction Mechanics System held?,"Construction Mechanics System is held at Gold 2, 3, 4. in Green energy tube (301)."
What type of course is Construction Mechanics System?,Construction Mechanics System is classified as a Theory course.
Are there any additional notes for Construction Mechanics System?,"Notes: Pupils at the University of Compatibles, basics of student training."
What is the course code for Industrial Mathematics?,The course code for Industrial Mathematics is BNPE1101.
Who is the instructor for Industrial Mathematics?,The instructor of Industrial Mathematics is Munju Hyun.
How many credits is Industrial Mathematics worth?,Industrial Mathematics is worth 3.0 credits.
When and where is Industrial Mathematics held?,"Industrial Mathematics is held at Tuesday 6,7,8 in Green energy tube (508)."
What type of course is Industrial Mathematics?,Industrial Mathematics is classified as a Theory course.
Are there any additional notes for Industrial Mathematics?,Notes: The Tagua student can't be accepted.
What is the course code for A Step Into Engineering Design?,The course code for A Step Into Engineering Design is PROJ1201.
Who is the instructor for A Step Into Engineering Design?,The instructor of A Step Into Engineering Design is Five - wheeled stone..
How many credits is A Step Into Engineering Design worth?,A Step Into Engineering Design is worth 3.0 credits.
When and where is A Step Into Engineering Design held?,"A Step Into Engineering Design is held at Number 1, 2, 3, 4. in Green energy tube (105)."
What type of course is A Step Into Engineering Design?,A Step Into Engineering Design is classified as a Theoretical Practice course.
Are there any additional notes for A Step Into Engineering Design?,Notes: The Tagua student can't be accepted.
What is the course code for A Step Into Engineering Design?,The course code for A Step Into Engineering Design is PROJ1201.
Who is the instructor for A Step Into Engineering Design?,The instructor of A Step Into Engineering Design is Five - wheeled stone..
How many credits is A Step Into Engineering Design worth?,A Step Into Engineering Design is worth 3.0 credits.
When and where is A Step Into Engineering Design held?,"A Step Into Engineering Design is held at Number 6, 7, 8, 9. in Green energy tube (105)."
What type of course is A Step Into Engineering Design?,A Step Into Engineering Design is classified as a Theoretical Practice course.
Are there any additional notes for A Step Into Engineering Design?,Notes: The Tagua student can't be accepted.
What is the course code for Lead Design One.?,The course code for Lead Design One. is GUID100002.
Who is the instructor for Lead Design One.?,The instructor of Lead Design One. is Munju Hyun.
How many credits is Lead Design One. worth?,Lead Design One. is worth 1.0 credits.
When and where is Lead Design One. held?,Lead Design One. is held at Tuesday 9 in Green energy tube (508).
What type of course is Lead Design One.?,Lead Design One. is classified as a Theory course.
Are there any additional notes for Lead Design One.?,Notes: The Tagua student can't be accepted.
What is the course code for The Building Program?,The course code for The Building Program is BNPE2103.
Who is the instructor for The Building Program?,The instructor of The Building Program is Imhansol.
How many credits is The Building Program worth?,The Building Program is worth 3.0 credits.
When and where is The Building Program held?,"The Building Program is held at Gold 2, 3, 4. in Green energy tube (103)."
What type of course is The Building Program?,The Building Program is classified as a Theory course.
Are there any additional notes for The Building Program?,Notes: The Tagua student can't be accepted.
What is the course code for The Building Program?,The course code for The Building Program is BNPE2103.
Who is the instructor for The Building Program?,The instructor of The Building Program is Imhansol.
How many credits is The Building Program worth?,The Building Program is worth 3.0 credits.
When and where is The Building Program held?,"The Building Program is held at Gold 6,7,8 in Green energy tube (103)."
What type of course is The Building Program?,The Building Program is classified as a Theory course.
Are there any additional notes for The Building Program?,Notes: The Tagua student can't be accepted.
What is the course code for Delicate Epidemiology?,The course code for Delicate Epidemiology is BNPE2105.
Who is the instructor for Delicate Epidemiology?,The instructor of Delicate Epidemiology is PARK GUYS.
How many credits is Delicate Epidemiology worth?,Delicate Epidemiology is worth 3.0 credits.
When and where is Delicate Epidemiology held?,"Delicate Epidemiology is held at Month 2,3,4 in Green energy tube (103)."
What type of course is Delicate Epidemiology?,Delicate Epidemiology is classified as a Theory course.
Are there any additional notes for Delicate Epidemiology?,Notes: The Tagua student can't be accepted.
What is the course code for Delicate Epidemiology?,The course code for Delicate Epidemiology is BNPE2105.
Who is the instructor for Delicate Epidemiology?,The instructor of Delicate Epidemiology is PARK GUYS.
How many credits is Delicate Epidemiology worth?,Delicate Epidemiology is worth 3.0 credits.
When and where is Delicate Epidemiology held?,"Delicate Epidemiology is held at Months 6,7,8 in Green energy tube (103)."
What type of course is Delicate Epidemiology?,Delicate Epidemiology is classified as a Theory course.
Are there any additional notes for Delicate Epidemiology?,Notes: The Tagua student can't be accepted.
What is the course code for Facilities and Environment Experiments?,The course code for Facilities and Environment Experiments is BNPE2108.
Who is the instructor for Facilities and Environment Experiments?,The instructor of Facilities and Environment Experiments is Tattoo Rock.
How many credits is Facilities and Environment Experiments worth?,Facilities and Environment Experiments is worth 3.0 credits.
When and where is Facilities and Environment Experiments held?,"Facilities and Environment Experiments is held at Number 1, 2, 3, 4. in Green energy tube (103)."
What type of course is Facilities and Environment Experiments?,Facilities and Environment Experiments is classified as a Theoretical Practice course.
Are there any additional notes for Facilities and Environment Experiments?,Notes: The Tagua student can't be accepted.
What is the course code for Facilities and Environment Experiments?,The course code for Facilities and Environment Experiments is BNPE2108.
Who is the instructor for Facilities and Environment Experiments?,The instructor of Facilities and Environment Experiments is Tattoo Rock.
How many credits is Facilities and Environment Experiments worth?,Facilities and Environment Experiments is worth 3.0 credits.
When and where is Facilities and Environment Experiments held?,"Facilities and Environment Experiments is held at Number 6, 7, 8, 9. in Green energy tube (103)."
What type of course is Facilities and Environment Experiments?,Facilities and Environment Experiments is classified as a Theoretical Practice course.
Are there any additional notes for Facilities and Environment Experiments?,Notes: The Tagua student can't be accepted.
What is the course code for The Design of Sanitation?,The course code for The Design of Sanitation is BNPE2111.
Who is the instructor for The Design of Sanitation?,The instructor of The Design of Sanitation is Chromorrhea.
How many credits is The Design of Sanitation worth?,The Design of Sanitation is worth 3.0 credits.
When and where is The Design of Sanitation held?,"The Design of Sanitation is held at Anger 1, 2, 3, 4. in Green energy tube (103)."
What type of course is The Design of Sanitation?,The Design of Sanitation is classified as a Theoretical Practice course.
Are there any additional notes for The Design of Sanitation?,Notes: The Tagua student can't be accepted.
What is the course code for The Design of Sanitation?,The course code for The Design of Sanitation is BNPE2111.
Who is the instructor for The Design of Sanitation?,The instructor of The Design of Sanitation is Chromorrhea.
How many credits is The Design of Sanitation worth?,The Design of Sanitation is worth 3.0 credits.
When and where is The Design of Sanitation held?,"The Design of Sanitation is held at Figure 6, 7, 8, 9. in Green energy tube (103)."
What type of course is The Design of Sanitation?,The Design of Sanitation is classified as a Theoretical Practice course.
Are there any additional notes for The Design of Sanitation?,Notes: The Tagua student can't be accepted.
What is the course code for A fluid machine?,The course code for A fluid machine is BNPE2112.
Who is the instructor for A fluid machine?,The instructor of A fluid machine is Yoon Young-chil.
How many credits is A fluid machine worth?,A fluid machine is worth 3.0 credits.
When and where is A fluid machine held?,"A fluid machine is held at throat 2, 3, 4. in Green energy tube (103)."
What type of course is A fluid machine?,A fluid machine is classified as a Theory course.
Are there any additional notes for A fluid machine?,Notes: The Tagua student can't be accepted.
What is the course code for A fluid machine?,The course code for A fluid machine is BNPE2112.
Who is the instructor for A fluid machine?,The instructor of A fluid machine is Yoon Young-chil.
How many credits is A fluid machine worth?,A fluid machine is worth 3.0 credits.
When and where is A fluid machine held?,"A fluid machine is held at Thirst 6,7,8 in Green energy tube (103)."
What type of course is A fluid machine?,A fluid machine is classified as a Theory course.
Are there any additional notes for A fluid machine?,Notes: The Tagua student can't be accepted.
What is the course code for Electricity or Control Tests?,The course code for Electricity or Control Tests is BNPE2115.
Who is the instructor for Electricity or Control Tests?,The instructor of Electricity or Control Tests is Immigration.
How many credits is Electricity or Control Tests worth?,Electricity or Control Tests is worth 3.0 credits.
When and where is Electricity or Control Tests held?,"Electricity or Control Tests is held at Neck 9, 10, 11, 12 in Green energy tube (105)."
What type of course is Electricity or Control Tests?,Electricity or Control Tests is classified as a Theoretical Practice course.
Are there any additional notes for Electricity or Control Tests?,Notes: The Tagua student can't be accepted.
What is the course code for Lead Design 2?,The course code for Lead Design 2 is GUID200002.
Who is the instructor for Lead Design 2?,The instructor of Lead Design 2 is Yoon Young-chil.
How many credits is Lead Design 2 worth?,Lead Design 2 is worth 1.0 credits.
When and where is Lead Design 2 held?,Lead Design 2 is held at Fire 10 in Green energy tube (103).
What type of course is Lead Design 2?,Lead Design 2 is classified as a Theory course.
Are there any additional notes for Lead Design 2?,Notes: The Tagua student can't be accepted.
What is the course code for Building Energy Evaluate?,The course code for Building Energy Evaluate is BNPE3202.
Who is the instructor for Building Energy Evaluate?,The instructor of Building Energy Evaluate is Tattoo Rock.
How many credits is Building Energy Evaluate worth?,Building Energy Evaluate is worth 3.0 credits.
When and where is Building Energy Evaluate held?,"Building Energy Evaluate is held at Anger 1, 2, 3, 4. in Green energy tube (313)."
What type of course is Building Energy Evaluate?,Building Energy Evaluate is classified as a Theoretical Practice course.
Are there any additional notes for Building Energy Evaluate?,Notes: The Tagua student can't be accepted.
What is the course code for Building Energy Evaluate?,The course code for Building Energy Evaluate is BNPE3202.
Who is the instructor for Building Energy Evaluate?,The instructor of Building Energy Evaluate is Tattoo Rock.
How many credits is Building Energy Evaluate worth?,Building Energy Evaluate is worth 3.0 credits.
When and where is Building Energy Evaluate held?,"Building Energy Evaluate is held at Figure 6, 7, 8, 9. in Green energy tube (313)."
What type of course is Building Energy Evaluate?,Building Energy Evaluate is classified as a Theoretical Practice course.
Are there any additional notes for Building Energy Evaluate?,Notes: The Tagua student can't be accepted.
What is the course code for Design of the Heating System?,The course code for Design of the Heating System is BNPE3204.
Who is the instructor for Design of the Heating System?,The instructor of Design of the Heating System is Munju Hyun.
How many credits is Design of the Heating System worth?,Design of the Heating System is worth 3.0 credits.
When and where is Design of the Heating System held?,"Design of the Heating System is held at Woods 1, 2, 3, 4. in Green energy tube (104)."
What type of course is Design of the Heating System?,Design of the Heating System is classified as a Theoretical Practice course.
Are there any additional notes for Design of the Heating System?,Notes: The Tagua student can't be accepted.
What is the course code for Design of the Heating System?,The course code for Design of the Heating System is BNPE3204.
Who is the instructor for Design of the Heating System?,The instructor of Design of the Heating System is Munju Hyun.
How many credits is Design of the Heating System worth?,Design of the Heating System is worth 3.0 credits.
When and where is Design of the Heating System held?,"Design of the Heating System is held at Thirsty, seven, eight, nine. in Green energy tube (104)."
What type of course is Design of the Heating System?,Design of the Heating System is classified as a Theoretical Practice course.
Are there any additional notes for Design of the Heating System?,Notes: The Tagua student can't be accepted.
What is the course code for Interpretation of the Equipment Levels?,The course code for Interpretation of the Equipment Levels is BNPE3205.
Who is the instructor for Interpretation of the Equipment Levels?,The instructor of Interpretation of the Equipment Levels is Yoon Young-chil.
How many credits is Interpretation of the Equipment Levels worth?,Interpretation of the Equipment Levels is worth 3.0 credits.
When and where is Interpretation of the Equipment Levels held?,"Interpretation of the Equipment Levels is held at Month 2,3,4 in Green energy tube (105)."
What type of course is Interpretation of the Equipment Levels?,Interpretation of the Equipment Levels is classified as a Theory course.
Are there any additional notes for Interpretation of the Equipment Levels?,Notes: The Tagua student can't be accepted.
What is the course code for Interpretation of the Equipment Levels?,The course code for Interpretation of the Equipment Levels is BNPE3205.
Who is the instructor for Interpretation of the Equipment Levels?,The instructor of Interpretation of the Equipment Levels is Yoon Young-chil.
How many credits is Interpretation of the Equipment Levels worth?,Interpretation of the Equipment Levels is worth 3.0 credits.
When and where is Interpretation of the Equipment Levels held?,"Interpretation of the Equipment Levels is held at Months 6,7,8 in Green energy tube (105)."
What type of course is Interpretation of the Equipment Levels?,Interpretation of the Equipment Levels is classified as a Theory course.
Are there any additional notes for Interpretation of the Equipment Levels?,Notes: The Tagua student can't be accepted.
What is the course code for Facilities Auto Control?,The course code for Facilities Auto Control is BNPE3206.
Who is the instructor for Facilities Auto Control?,The instructor of Facilities Auto Control is Five - wheeled stone..
How many credits is Facilities Auto Control worth?,Facilities Auto Control is worth 3.0 credits.
When and where is Facilities Auto Control held?,"Facilities Auto Control is held at Month 2,3,4 in Green energy tube (104)."
What type of course is Facilities Auto Control?,Facilities Auto Control is classified as a Theory course.
Are there any additional notes for Facilities Auto Control?,Notes: The Tagua student can't be accepted.
What is the course code for Facilities Auto Control?,The course code for Facilities Auto Control is BNPE3206.
Who is the instructor for Facilities Auto Control?,The instructor of Facilities Auto Control is Five - wheeled stone..
How many credits is Facilities Auto Control worth?,Facilities Auto Control is worth 3.0 credits.
When and where is Facilities Auto Control held?,"Facilities Auto Control is held at Months 6,7,8 in Green energy tube (104)."
What type of course is Facilities Auto Control?,Facilities Auto Control is classified as a Theory course.
Are there any additional notes for Facilities Auto Control?,Notes: The Tagua student can't be accepted.
What is the course code for Fireworks?,The course code for Fireworks is BNPE3207.
Who is the instructor for Fireworks?,The instructor of Fireworks is Irrigation.
How many credits is Fireworks worth?,Fireworks is worth 3.0 credits.
When and where is Fireworks held?,"Fireworks is held at Gold 2, 3, 4. in Green energy tube (104)."
What type of course is Fireworks?,Fireworks is classified as a Theory course.
Are there any additional notes for Fireworks?,Notes: The Tagua student can't be accepted.
What is the course code for Application air - harmony equipment?,The course code for Application air - harmony equipment is BNPE3209.
Who is the instructor for Application air - harmony equipment?,The instructor of Application air - harmony equipment is Chromorrhea.
How many credits is Application air - harmony equipment worth?,Application air - harmony equipment is worth 3.0 credits.
When and where is Application air - harmony equipment held?,"Application air - harmony equipment is held at Number 6, 7, 8. in Green energy tube (104)."
What type of course is Application air - harmony equipment?,Application air - harmony equipment is classified as a Theory course.
Are there any additional notes for Application air - harmony equipment?,Notes: The Tagua student can't be accepted.
What is the course code for Lead Design 3?,The course code for Lead Design 3 is GUID300002.
Who is the instructor for Lead Design 3?,The instructor of Lead Design 3 is Chromorrhea.
How many credits is Lead Design 3 worth?,Lead Design 3 is worth 1.0 credits.
When and where is Lead Design 3 held?,Lead Design 3 is held at Fire 10 in Green energy tube (104).
What type of course is Lead Design 3?,Lead Design 3 is classified as a Theory course.
Are there any additional notes for Lead Design 3?,Notes: The Tagua student can't be accepted.
What is the course code for Construction Manipulations?,The course code for Construction Manipulations is BNPE4202.
Who is the instructor for Construction Manipulations?,The instructor of Construction Manipulations is Imhansol.
How many credits is Construction Manipulations worth?,Construction Manipulations is worth 3.0 credits.
When and where is Construction Manipulations held?,"Construction Manipulations is held at Number 6, 7, 8. in Green energy tube (209)."
What type of course is Construction Manipulations?,Construction Manipulations is classified as a Theory course.
Are there any additional notes for Construction Manipulations?,Notes: The Tagua student can't be accepted.
What is the course code for Construction Manipulations?,The course code for Construction Manipulations is BNPE4202.
Who is the instructor for Construction Manipulations?,The instructor of Construction Manipulations is Imhansol.
How many credits is Construction Manipulations worth?,Construction Manipulations is worth 3.0 credits.
When and where is Construction Manipulations held?,"Construction Manipulations is held at Thirst 6,7,8 in Green energy tube (209)."
What type of course is Construction Manipulations?,Construction Manipulations is classified as a Theory course.
Are there any additional notes for Construction Manipulations?,Notes: The Tagua student can't be accepted.
What is the course code for Air-symbolation TAB?,The course code for Air-symbolation TAB is BNPE4205.
Who is the instructor for Air-symbolation TAB?,The instructor of Air-symbolation TAB is PARK GUYS.
How many credits is Air-symbolation TAB worth?,Air-symbolation TAB is worth 3.0 credits.
When and where is Air-symbolation TAB held?,"Air-symbolation TAB is held at Anger 1, 2, 3, 4. in Green energy tube (209)."
What type of course is Air-symbolation TAB?,Air-symbolation TAB is classified as a Theoretical Practice course.
Are there any additional notes for Air-symbolation TAB?,Notes: The Tagua student can't be accepted.
What is the course code for Air-symbolation TAB?,The course code for Air-symbolation TAB is BNPE4205.
Who is the instructor for Air-symbolation TAB?,The instructor of Air-symbolation TAB is PARK GUYS.
How many credits is Air-symbolation TAB worth?,Air-symbolation TAB is worth 3.0 credits.
When and where is Air-symbolation TAB held?,"Air-symbolation TAB is held at Figure 6, 7, 8, 9. in Green energy tube (209)."
What type of course is Air-symbolation TAB?,Air-symbolation TAB is classified as a Theoretical Practice course.
Are there any additional notes for Air-symbolation TAB?,Notes: The Tagua student can't be accepted.
What is the course code for The entrepreneurship and the Startup?,The course code for The entrepreneurship and the Startup is STAR3001.
Who is the instructor for The entrepreneurship and the Startup?,The instructor of The entrepreneurship and the Startup is The End of Death.
How many credits is The entrepreneurship and the Startup worth?,The entrepreneurship and the Startup is worth 1.0 credits.
When and where is The entrepreneurship and the Startup held?,The entrepreneurship and the Startup is held at neck 9 in Green energy tube (508).
