question_en,answer_en
When is Career Planning 3 (Career Setting and Career Development)held?,Career Planning 3 (Career Setting and Career Development)is held on Tue5.
At what time is Career Planning 3 (Career Setting and Career Development)held?,Career Planning 3 (Career Setting and Career Development)is held on Tue5.
When does Career Planning 3 (Career Setting and Career Development)held?,Career Planning 3 (Career Setting and Career Development)is held on Tue5.
When does Career Planning 3 (Career Setting and Career Development)held?,Career Planning 3 (Career Setting and Career Development)is held on Tue5.
Where is Career Planning 3 (Career Setting and Career Development)located?,Career Planning 3 (Career Setting and Career Development)takes place in Electrical and electronic tube (409).
Where does Career Planning 3 (Career Setting and Career Development)located?,Career Planning 3 (Career Setting and Career Development)takes place in Electrical and electronic tube (409).
At what location is Career Planning 3 (Career Setting and Career Development)located?,Career Planning 3 (Career Setting and Career Development)takes place in Electrical and electronic tube (409).
In which classroom is Career Planning 3 (Career Setting and Career Development)located?,Career Planning 3 (Career Setting and Career Development)takes place in Electrical and electronic tube (409).
What is the credit of Career Planning 3 (Career Setting and Career Development)?,Career Planning 3 (Career Setting and Career Development)is worth 1.0 credits.
What’s the credit count for of Career Planning 3 (Career Setting and Career Development)?,Career Planning 3 (Career Setting and Career Development)is worth 1.0 credits.
What’s the credit count for of Career Planning 3 (Career Setting and Career Development)?,Career Planning 3 (Career Setting and Career Development)is worth 1.0 credits.
How many credits is of Career Planning 3 (Career Setting and Career Development)?,Career Planning 3 (Career Setting and Career Development)is worth 1.0 credits.
Any special notes for Career Planning 3 (Career Setting and Career Development)?,Notes: Electronic engineering students onlyWedriver possible
Are there any notes about for Career Planning 3 (Career Setting and Career Development)?,Notes: Electronic engineering students onlyWedriver possible
Any remarks for for Career Planning 3 (Career Setting and Career Development)?,Notes: Electronic engineering students onlyWedriver possible
Is there something special about for Career Planning 3 (Career Setting and Career Development)?,Notes: Electronic engineering students onlyWedriver possible
Who teaches Communication system (2)?,The instructor of Communication system (2)is Kim Chan-gyu.
Who is teaching Communication system (2)?,The instructor of Communication system (2)is Kim Chan-gyu.
Who instructs Communication system (2)?,The instructor of Communication system (2)is Kim Chan-gyu.
Who is teaching Communication system (2)?,The instructor of Communication system (2)is Kim Chan-gyu.
When is Communication system (2)held?,"Communication system (2)is held on Fri6,7,8."
When does Communication system (2)held?,"Communication system (2)is held on Fri6,7,8."
When does Communication system (2)held?,"Communication system (2)is held on Fri6,7,8."
When does Communication system (2)held?,"Communication system (2)is held on Fri6,7,8."
Where is Communication system (2)located?,Communication system (2)takes place in Electrical and electronic tube (301).
In which classroom is Communication system (2)located?,Communication system (2)takes place in Electrical and electronic tube (301).
At what location is Communication system (2)located?,Communication system (2)takes place in Electrical and electronic tube (301).
At what location is Communication system (2)located?,Communication system (2)takes place in Electrical and electronic tube (301).
What is the credit of Communication system (2)?,Communication system (2)is worth 3.0 credits.
How many credits is of Communication system (2)?,Communication system (2)is worth 3.0 credits.
What’s the credit count for of Communication system (2)?,Communication system (2)is worth 3.0 credits.
How much credit does of Communication system (2)?,Communication system (2)is worth 3.0 credits.
Who teaches Communication system (2)?,The instructor of Communication system (2)is Kim Chan-gyu.
Who instructs Communication system (2)?,The instructor of Communication system (2)is Kim Chan-gyu.
Who is the professor for Communication system (2)?,The instructor of Communication system (2)is Kim Chan-gyu.
Who is the professor for Communication system (2)?,The instructor of Communication system (2)is Kim Chan-gyu.
When is Communication system (2)held?,"Communication system (2)is held on Thu2,3,4."
What time is Communication system (2)held?,"Communication system (2)is held on Thu2,3,4."
What time is Communication system (2)held?,"Communication system (2)is held on Thu2,3,4."
At what time is Communication system (2)held?,"Communication system (2)is held on Thu2,3,4."
Where is Communication system (2)located?,Communication system (2)takes place in Electrical and electronic tube (301).
At what location is Communication system (2)located?,Communication system (2)takes place in Electrical and electronic tube (301).
Where does Communication system (2)located?,Communication system (2)takes place in Electrical and electronic tube (301).
At what location is Communication system (2)located?,Communication system (2)takes place in Electrical and electronic tube (301).
What is the credit of Communication system (2)?,Communication system (2)is worth 3.0 credits.
What’s the credit count for of Communication system (2)?,Communication system (2)is worth 3.0 credits.
What’s the credit count for of Communication system (2)?,Communication system (2)is worth 3.0 credits.
What’s the credit count for of Communication system (2)?,Communication system (2)is worth 3.0 credits.
Who teaches Communication system (2)?,The instructor of Communication system (2)is Kim Chan-gyu.
Who is teaching Communication system (2)?,The instructor of Communication system (2)is Kim Chan-gyu.
Who instructs Communication system (2)?,The instructor of Communication system (2)is Kim Chan-gyu.
Who is teaching Communication system (2)?,The instructor of Communication system (2)is Kim Chan-gyu.
When is Communication system (2)held?,"Communication system (2)is held on Wed6,7,8."
What time is Communication system (2)held?,"Communication system (2)is held on Wed6,7,8."
When does Communication system (2)held?,"Communication system (2)is held on Wed6,7,8."
When does Communication system (2)held?,"Communication system (2)is held on Wed6,7,8."
Where is Communication system (2)located?,Communication system (2)takes place in Electrical and electronic tube (301).
In which classroom is Communication system (2)located?,Communication system (2)takes place in Electrical and electronic tube (301).
At what location is Communication system (2)located?,Communication system (2)takes place in Electrical and electronic tube (301).
Where does Communication system (2)located?,Communication system (2)takes place in Electrical and electronic tube (301).
What is the credit of Communication system (2)?,Communication system (2)is worth 3.0 credits.
What’s the credit count for of Communication system (2)?,Communication system (2)is worth 3.0 credits.
How much credit does of Communication system (2)?,Communication system (2)is worth 3.0 credits.
What’s the credit count for of Communication system (2)?,Communication system (2)is worth 3.0 credits.
Who teaches Communication system (2)?,The instructor of Communication system (2)is Nogosan.
Who instructs Communication system (2)?,The instructor of Communication system (2)is Nogosan.
Who is teaching Communication system (2)?,The instructor of Communication system (2)is Nogosan.
Who is teaching Communication system (2)?,The instructor of Communication system (2)is Nogosan.
When is Communication system (2)held?,"Communication system (2)is held on Mon2,3,4."
When does Communication system (2)held?,"Communication system (2)is held on Mon2,3,4."
What time is Communication system (2)held?,"Communication system (2)is held on Mon2,3,4."
What time is Communication system (2)held?,"Communication system (2)is held on Mon2,3,4."
Where is Communication system (2)located?,Communication system (2)takes place in Electrical and electronic tube (409).
In which classroom is Communication system (2)located?,Communication system (2)takes place in Electrical and electronic tube (409).
In which classroom is Communication system (2)located?,Communication system (2)takes place in Electrical and electronic tube (409).
In which classroom is Communication system (2)located?,Communication system (2)takes place in Electrical and electronic tube (409).
What is the credit of Communication system (2)?,Communication system (2)is worth 3.0 credits.
How many credits is of Communication system (2)?,Communication system (2)is worth 3.0 credits.
What’s the credit count for of Communication system (2)?,Communication system (2)is worth 3.0 credits.
What’s the credit count for of Communication system (2)?,Communication system (2)is worth 3.0 credits.
Any special notes for Communication system (2)?,Notes: 04half+05half 합half
Is there something special about for Communication system (2)?,Notes: 04half+05half 합half
Is there something special about for Communication system (2)?,Notes: 04half+05half 합half
Are there any notes about for Communication system (2)?,Notes: 04half+05half 합half
Who teaches Introduction to Machine Learning?,The instructor of Introduction to Machine Learningis KwakWedzero.
Who is teaching Introduction to Machine Learning?,The instructor of Introduction to Machine Learningis KwakWedzero.
Who is teaching Introduction to Machine Learning?,The instructor of Introduction to Machine Learningis KwakWedzero.
Who instructs Introduction to Machine Learning?,The instructor of Introduction to Machine Learningis KwakWedzero.
When is Introduction to Machine Learningheld?,"Introduction to Machine Learningis held on Tue2,3,4."
At what time is Introduction to Machine Learningheld?,"Introduction to Machine Learningis held on Tue2,3,4."
What time is Introduction to Machine Learningheld?,"Introduction to Machine Learningis held on Tue2,3,4."
At what time is Introduction to Machine Learningheld?,"Introduction to Machine Learningis held on Tue2,3,4."
Where is Introduction to Machine Learninglocated?,Introduction to Machine Learningtakes place in automaticTueTube(103).
Where does Introduction to Machine Learninglocated?,Introduction to Machine Learningtakes place in automaticTueTube(103).
In which classroom is Introduction to Machine Learninglocated?,Introduction to Machine Learningtakes place in automaticTueTube(103).
At what location is Introduction to Machine Learninglocated?,Introduction to Machine Learningtakes place in automaticTueTube(103).
What is the credit of Introduction to Machine Learning?,Introduction to Machine Learningis worth 3.0 credits.
How many credits is of Introduction to Machine Learning?,Introduction to Machine Learningis worth 3.0 credits.
How many credits is of Introduction to Machine Learning?,Introduction to Machine Learningis worth 3.0 credits.
How much credit does of Introduction to Machine Learning?,Introduction to Machine Learningis worth 3.0 credits.
Who teaches Antenna Engineering?,The instructor of Antenna Engineeringis Youngbae Jeong.
Who is teaching Antenna Engineering?,The instructor of Antenna Engineeringis Youngbae Jeong.
Who instructs Antenna Engineering?,The instructor of Antenna Engineeringis Youngbae Jeong.
Who instructs Antenna Engineering?,The instructor of Antenna Engineeringis Youngbae Jeong.
When is Antenna Engineeringheld?,"Antenna Engineeringis held on Mon6,7,8."
What time is Antenna Engineeringheld?,"Antenna Engineeringis held on Mon6,7,8."
What time is Antenna Engineeringheld?,"Antenna Engineeringis held on Mon6,7,8."
When does Antenna Engineeringheld?,"Antenna Engineeringis held on Mon6,7,8."
Where is Antenna Engineeringlocated?,Antenna Engineeringtakes place in Electrical and electronic tube (401).
In which classroom is Antenna Engineeringlocated?,Antenna Engineeringtakes place in Electrical and electronic tube (401).
At what location is Antenna Engineeringlocated?,Antenna Engineeringtakes place in Electrical and electronic tube (401).
In which classroom is Antenna Engineeringlocated?,Antenna Engineeringtakes place in Electrical and electronic tube (401).
What is the credit of Antenna Engineering?,Antenna Engineeringis worth 3.0 credits.
What’s the credit count for of Antenna Engineering?,Antenna Engineeringis worth 3.0 credits.
How many credits is of Antenna Engineering?,Antenna Engineeringis worth 3.0 credits.
How much credit does of Antenna Engineering?,Antenna Engineeringis worth 3.0 credits.
Who teaches Power conversion system and applications?,The instructor of Power conversion system and applicationsis Han Jeong-gyu.
Who instructs Power conversion system and applications?,The instructor of Power conversion system and applicationsis Han Jeong-gyu.
Who is teaching Power conversion system and applications?,The instructor of Power conversion system and applicationsis Han Jeong-gyu.
Who instructs Power conversion system and applications?,The instructor of Power conversion system and applicationsis Han Jeong-gyu.
When is Power conversion system and applicationsheld?,"Power conversion system and applicationsis held on Thu6,7,8."
When does Power conversion system and applicationsheld?,"Power conversion system and applicationsis held on Thu6,7,8."
What time is Power conversion system and applicationsheld?,"Power conversion system and applicationsis held on Thu6,7,8."
When does Power conversion system and applicationsheld?,"Power conversion system and applicationsis held on Thu6,7,8."
Where is Power conversion system and applicationslocated?,Power conversion system and applicationstakes place in automaticTueTube(103).
At what location is Power conversion system and applicationslocated?,Power conversion system and applicationstakes place in automaticTueTube(103).
At what location is Power conversion system and applicationslocated?,Power conversion system and applicationstakes place in automaticTueTube(103).
Where does Power conversion system and applicationslocated?,Power conversion system and applicationstakes place in automaticTueTube(103).
What is the credit of Power conversion system and applications?,Power conversion system and applicationsis worth 3.0 credits.
What’s the credit count for of Power conversion system and applications?,Power conversion system and applicationsis worth 3.0 credits.
How many credits is of Power conversion system and applications?,Power conversion system and applicationsis worth 3.0 credits.
How many credits is of Power conversion system and applications?,Power conversion system and applicationsis worth 3.0 credits.
Who teaches intelligent robot?,The instructor of intelligent robotis Park Jae-soon.
Who is teaching intelligent robot?,The instructor of intelligent robotis Park Jae-soon.
Who is teaching intelligent robot?,The instructor of intelligent robotis Park Jae-soon.
Who is the professor for intelligent robot?,The instructor of intelligent robotis Park Jae-soon.
When is intelligent robotheld?,"intelligent robotis held on Fri2,3,4."
At what time is intelligent robotheld?,"intelligent robotis held on Fri2,3,4."
What time is intelligent robotheld?,"intelligent robotis held on Fri2,3,4."
When does intelligent robotheld?,"intelligent robotis held on Fri2,3,4."
Where is intelligent robotlocated?,intelligent robottakes place in automaticTueTube(308).
In which classroom is intelligent robotlocated?,intelligent robottakes place in automaticTueTube(308).
In which classroom is intelligent robotlocated?,intelligent robottakes place in automaticTueTube(308).
Where does intelligent robotlocated?,intelligent robottakes place in automaticTueTube(308).
What is the credit of intelligent robot?,intelligent robotis worth 3.0 credits.
How many credits is of intelligent robot?,intelligent robotis worth 3.0 credits.
What’s the credit count for of intelligent robot?,intelligent robotis worth 3.0 credits.
What’s the credit count for of intelligent robot?,intelligent robotis worth 3.0 credits.
Who teaches Career Planning 4 (Employment Strategy and Practical Employment)?,The instructor of Career Planning 4 (Employment Strategy and Practical Employment)is Seungho Lee.
Who is the professor for Career Planning 4 (Employment Strategy and Practical Employment)?,The instructor of Career Planning 4 (Employment Strategy and Practical Employment)is Seungho Lee.
Who is teaching Career Planning 4 (Employment Strategy and Practical Employment)?,The instructor of Career Planning 4 (Employment Strategy and Practical Employment)is Seungho Lee.
Who is teaching Career Planning 4 (Employment Strategy and Practical Employment)?,The instructor of Career Planning 4 (Employment Strategy and Practical Employment)is Seungho Lee.
When is Career Planning 4 (Employment Strategy and Practical Employment)held?,Career Planning 4 (Employment Strategy and Practical Employment)is held on Wed5.
What time is Career Planning 4 (Employment Strategy and Practical Employment)held?,Career Planning 4 (Employment Strategy and Practical Employment)is held on Wed5.
What time is Career Planning 4 (Employment Strategy and Practical Employment)held?,Career Planning 4 (Employment Strategy and Practical Employment)is held on Wed5.
What time is Career Planning 4 (Employment Strategy and Practical Employment)held?,Career Planning 4 (Employment Strategy and Practical Employment)is held on Wed5.
Where is Career Planning 4 (Employment Strategy and Practical Employment)located?,Career Planning 4 (Employment Strategy and Practical Employment)takes place in Electrical and electronic tube (409).
At what location is Career Planning 4 (Employment Strategy and Practical Employment)located?,Career Planning 4 (Employment Strategy and Practical Employment)takes place in Electrical and electronic tube (409).
Where does Career Planning 4 (Employment Strategy and Practical Employment)located?,Career Planning 4 (Employment Strategy and Practical Employment)takes place in Electrical and electronic tube (409).
At what location is Career Planning 4 (Employment Strategy and Practical Employment)located?,Career Planning 4 (Employment Strategy and Practical Employment)takes place in Electrical and electronic tube (409).
What is the credit of Career Planning 4 (Employment Strategy and Practical Employment)?,Career Planning 4 (Employment Strategy and Practical Employment)is worth 1.0 credits.
How many credits is of Career Planning 4 (Employment Strategy and Practical Employment)?,Career Planning 4 (Employment Strategy and Practical Employment)is worth 1.0 credits.
What’s the credit count for of Career Planning 4 (Employment Strategy and Practical Employment)?,Career Planning 4 (Employment Strategy and Practical Employment)is worth 1.0 credits.
What’s the credit count for of Career Planning 4 (Employment Strategy and Practical Employment)?,Career Planning 4 (Employment Strategy and Practical Employment)is worth 1.0 credits.
Any special notes for Career Planning 4 (Employment Strategy and Practical Employment)?,Notes: Electronic engineering students onlyWedriver possible
Any remarks for for Career Planning 4 (Employment Strategy and Practical Employment)?,Notes: Electronic engineering students onlyWedriver possible
Any remarks for for Career Planning 4 (Employment Strategy and Practical Employment)?,Notes: Electronic engineering students onlyWedriver possible
Any remarks for for Career Planning 4 (Employment Strategy and Practical Employment)?,Notes: Electronic engineering students onlyWedriver possible
Who teaches Capstone Design (2)?,The instructor of Capstone Design (2)is Youngbae Jeong.
Who is the professor for Capstone Design (2)?,The instructor of Capstone Design (2)is Youngbae Jeong.
Who instructs Capstone Design (2)?,The instructor of Capstone Design (2)is Youngbae Jeong.
Who is the professor for Capstone Design (2)?,The instructor of Capstone Design (2)is Youngbae Jeong.
When is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
When does Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
At what time is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
What time is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
Where is Capstone Design (2)located?,Capstone Design (2)takes place in Electrical and electronic tube (401).
Where does Capstone Design (2)located?,Capstone Design (2)takes place in Electrical and electronic tube (401).
Where does Capstone Design (2)located?,Capstone Design (2)takes place in Electrical and electronic tube (401).
In which classroom is Capstone Design (2)located?,Capstone Design (2)takes place in Electrical and electronic tube (401).
What is the credit of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
How much credit does of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
What’s the credit count for of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
What’s the credit count for of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
Any special notes for Capstone Design (2)?,Notes: 25-1Semester Lee Gyeong-jaeWedIn charge
Are there any notes about for Capstone Design (2)?,Notes: 25-1Semester Lee Gyeong-jaeWedIn charge
Any remarks for for Capstone Design (2)?,Notes: 25-1Semester Lee Gyeong-jaeWedIn charge
Are there any notes about for Capstone Design (2)?,Notes: 25-1Semester Lee Gyeong-jaeWedIn charge
Who teaches Capstone Design (2)?,The instructor of Capstone Design (2)is Goo Chi-wan.
Who is teaching Capstone Design (2)?,The instructor of Capstone Design (2)is Goo Chi-wan.
Who instructs Capstone Design (2)?,The instructor of Capstone Design (2)is Goo Chi-wan.
Who is teaching Capstone Design (2)?,The instructor of Capstone Design (2)is Goo Chi-wan.
When is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
At what time is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
At what time is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
When does Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
Where is Capstone Design (2)located?,Capstone Design (2)takes place in automaticTueTube(202).
At what location is Capstone Design (2)located?,Capstone Design (2)takes place in automaticTueTube(202).
Where does Capstone Design (2)located?,Capstone Design (2)takes place in automaticTueTube(202).
Where does Capstone Design (2)located?,Capstone Design (2)takes place in automaticTueTube(202).
What is the credit of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
How much credit does of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
How much credit does of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
How much credit does of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
Who teaches Capstone Design (2)?,The instructor of Capstone Design (2)is Byunghee Lee.
Who is the professor for Capstone Design (2)?,The instructor of Capstone Design (2)is Byunghee Lee.
Who is teaching Capstone Design (2)?,The instructor of Capstone Design (2)is Byunghee Lee.
Who is teaching Capstone Design (2)?,The instructor of Capstone Design (2)is Byunghee Lee.
When is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
When does Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
When does Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
At what time is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
Where is Capstone Design (2)located?,Capstone Design (2)takes place in automaticTueTube(103).
In which classroom is Capstone Design (2)located?,Capstone Design (2)takes place in automaticTueTube(103).
Where does Capstone Design (2)located?,Capstone Design (2)takes place in automaticTueTube(103).
In which classroom is Capstone Design (2)located?,Capstone Design (2)takes place in automaticTueTube(103).
What is the credit of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
How much credit does of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
How much credit does of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
What’s the credit count for of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
Who teaches Capstone Design (2)?,The instructor of Capstone Design (2)is Seungbae Jeon.
Who is the professor for Capstone Design (2)?,The instructor of Capstone Design (2)is Seungbae Jeon.
Who is the professor for Capstone Design (2)?,The instructor of Capstone Design (2)is Seungbae Jeon.
Who is the professor for Capstone Design (2)?,The instructor of Capstone Design (2)is Seungbae Jeon.
When is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
What time is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
At what time is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
What time is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
Where is Capstone Design (2)located?,Capstone Design (2)takes place in Electrical and electronic tube (404).
In which classroom is Capstone Design (2)located?,Capstone Design (2)takes place in Electrical and electronic tube (404).
Where does Capstone Design (2)located?,Capstone Design (2)takes place in Electrical and electronic tube (404).
In which classroom is Capstone Design (2)located?,Capstone Design (2)takes place in Electrical and electronic tube (404).
What is the credit of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
How much credit does of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
What’s the credit count for of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
What’s the credit count for of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
Who teaches Capstone Design (2)?,The instructor of Capstone Design (2)is Han Jeong-gyu.
Who is teaching Capstone Design (2)?,The instructor of Capstone Design (2)is Han Jeong-gyu.
Who is teaching Capstone Design (2)?,The instructor of Capstone Design (2)is Han Jeong-gyu.
Who is the professor for Capstone Design (2)?,The instructor of Capstone Design (2)is Han Jeong-gyu.
When is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
At what time is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
At what time is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
At what time is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
Where is Capstone Design (2)located?,Capstone Design (2)takes place in automaticTueTube(106).
Where does Capstone Design (2)located?,Capstone Design (2)takes place in automaticTueTube(106).
In which classroom is Capstone Design (2)located?,Capstone Design (2)takes place in automaticTueTube(106).
In which classroom is Capstone Design (2)located?,Capstone Design (2)takes place in automaticTueTube(106).
What is the credit of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
What’s the credit count for of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
What’s the credit count for of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
How many credits is of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
Who teaches Capstone Design (2)?,The instructor of Capstone Design (2)is Youngwoo Ji.
Who instructs Capstone Design (2)?,The instructor of Capstone Design (2)is Youngwoo Ji.
Who is the professor for Capstone Design (2)?,The instructor of Capstone Design (2)is Youngwoo Ji.
Who is teaching Capstone Design (2)?,The instructor of Capstone Design (2)is Youngwoo Ji.
When is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
At what time is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
At what time is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
When does Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
Where is Capstone Design (2)located?,Capstone Design (2)takes place in automaticTueTube(207).
Where does Capstone Design (2)located?,Capstone Design (2)takes place in automaticTueTube(207).
Where does Capstone Design (2)located?,Capstone Design (2)takes place in automaticTueTube(207).
Where does Capstone Design (2)located?,Capstone Design (2)takes place in automaticTueTube(207).
What is the credit of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
How much credit does of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
What’s the credit count for of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
How many credits is of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
Who teaches Capstone Design (2)?,The instructor of Capstone Design (2)is Seonghyun Lee.
Who instructs Capstone Design (2)?,The instructor of Capstone Design (2)is Seonghyun Lee.
Who is teaching Capstone Design (2)?,The instructor of Capstone Design (2)is Seonghyun Lee.
Who is the professor for Capstone Design (2)?,The instructor of Capstone Design (2)is Seonghyun Lee.
When is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
At what time is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
At what time is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
At what time is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
Where is Capstone Design (2)located?,Capstone Design (2)takes place in Electrical and electronic tube (407).
At what location is Capstone Design (2)located?,Capstone Design (2)takes place in Electrical and electronic tube (407).
In which classroom is Capstone Design (2)located?,Capstone Design (2)takes place in Electrical and electronic tube (407).
In which classroom is Capstone Design (2)located?,Capstone Design (2)takes place in Electrical and electronic tube (407).
What is the credit of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
How much credit does of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
What’s the credit count for of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
How many credits is of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
Who teaches Capstone Design (2)?,The instructor of Capstone Design (2)is Seungho Lee.
Who is the professor for Capstone Design (2)?,The instructor of Capstone Design (2)is Seungho Lee.
Who is the professor for Capstone Design (2)?,The instructor of Capstone Design (2)is Seungho Lee.
Who is teaching Capstone Design (2)?,The instructor of Capstone Design (2)is Seungho Lee.
When is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
When does Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
What time is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
What time is Capstone Design (2)held?,"Capstone Design (2)is held on Sat1,2,3."
Where is Capstone Design (2)located?,Capstone Design (2)takes place in Electrical and electronic tube (405).
In which classroom is Capstone Design (2)located?,Capstone Design (2)takes place in Electrical and electronic tube (405).
At what location is Capstone Design (2)located?,Capstone Design (2)takes place in Electrical and electronic tube (405).
At what location is Capstone Design (2)located?,Capstone Design (2)takes place in Electrical and electronic tube (405).
What is the credit of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
How many credits is of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
What’s the credit count for of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
What’s the credit count for of Capstone Design (2)?,Capstone Design (2)is worth 3.0 credits.
Who teaches AIWedcrane?,The instructor of AIWedcraneis Park Jong-kwon.
Who is teaching AIWedcrane?,The instructor of AIWedcraneis Park Jong-kwon.
Who is teaching AIWedcrane?,The instructor of AIWedcraneis Park Jong-kwon.
Who is the professor for AIWedcrane?,The instructor of AIWedcraneis Park Jong-kwon.
When is AIWedcraneheld?,"AIWedcraneis held on Tue6,7,8."
At what time is AIWedcraneheld?,"AIWedcraneis held on Tue6,7,8."
When does AIWedcraneheld?,"AIWedcraneis held on Tue6,7,8."
What time is AIWedcraneheld?,"AIWedcraneis held on Tue6,7,8."
Where is AIWedcranelocated?,AIWedcranetakes place in Industrial Information Center (303).
In which classroom is AIWedcranelocated?,AIWedcranetakes place in Industrial Information Center (303).
Where does AIWedcranelocated?,AIWedcranetakes place in Industrial Information Center (303).
Where does AIWedcranelocated?,AIWedcranetakes place in Industrial Information Center (303).
What is the credit of AIWedcrane?,AIWedcraneis worth 3.0 credits.
How much credit does of AIWedcrane?,AIWedcraneis worth 3.0 credits.
What’s the credit count for of AIWedcrane?,AIWedcraneis worth 3.0 credits.
How many credits is of AIWedcrane?,AIWedcraneis worth 3.0 credits.
Who teaches IoTBasic practice?,The instructor of IoTBasic practiceis Park Jong-kwon.
Who is the professor for IoTBasic practice?,The instructor of IoTBasic practiceis Park Jong-kwon.
Who instructs IoTBasic practice?,The instructor of IoTBasic practiceis Park Jong-kwon.
Who instructs IoTBasic practice?,The instructor of IoTBasic practiceis Park Jong-kwon.
When is IoTBasic practiceheld?,"IoTBasic practiceis held on Wed6,7,8,9."
At what time is IoTBasic practiceheld?,"IoTBasic practiceis held on Wed6,7,8,9."
What time is IoTBasic practiceheld?,"IoTBasic practiceis held on Wed6,7,8,9."
What time is IoTBasic practiceheld?,"IoTBasic practiceis held on Wed6,7,8,9."
Where is IoTBasic practicelocated?,IoTBasic practicetakes place in Industrial Information Center (303).
In which classroom is IoTBasic practicelocated?,IoTBasic practicetakes place in Industrial Information Center (303).
In which classroom is IoTBasic practicelocated?,IoTBasic practicetakes place in Industrial Information Center (303).
At what location is IoTBasic practicelocated?,IoTBasic practicetakes place in Industrial Information Center (303).
What is the credit of IoTBasic practice?,IoTBasic practiceis worth 3.0 credits.
How many credits is of IoTBasic practice?,IoTBasic practiceis worth 3.0 credits.
How many credits is of IoTBasic practice?,IoTBasic practiceis worth 3.0 credits.
What’s the credit count for of IoTBasic practice?,IoTBasic practiceis worth 3.0 credits.
Who teaches MobaSunAIintroduction?,"The instructor of MobaSunAIintroductionis Lee Dong-ho, Moon Ji-hwan."
